seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,gravity_z,gravity_y,gravity_x,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,magnetometer_z,magnetometer_y,magnetometer_x,compass_magneticBearing,barometer_relativeAltitude,barometer_pressure,location_verticalAccuracy,location_longitude,location_latitude,annotation_text,annotation_millisecond_press_duration,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,GIS_Elevation,Temperature (°C),Humidity (%),Cloud Cover (%),Wind Speed (km/h)
0.09,-1.413292706,0.204256535,-1.633835375,-1.110797048,9.74304533,-0.080726119,0.068813917,0.002748891,-0.492540264,0.342208549,0.388731256,0.636800319,0.571158975,3.070068479,-1.456872225,1.981743038,-3.881250143,-49.27500153,24.07500076,206.0394166,,,,88.5313747,24.3732946,,,0.531206608,5.924628735,-1.445264935,,,,,,,,,,20.10832290311184,32,83,18,21
0.1,2.347400963,0.197871685,0.104449689,-0.88205868,9.763359547,-0.182500843,0.030085091,0.005192351,-0.243735043,0.363590598,0.409342527,0.614253759,0.568017751,2.943933606,-1.478757977,1.785904527,-5.925000191,-50.68125153,21.52500153,203.011577,,,,88.5313747,24.3732946,,,2.371765804,9.835458374,0.907358342,,,,,,,,,,20.08082337977183,32,83,18,21
0.11,2.327039361,-0.646005869,1.699881345,-0.457103103,9.794996738,0.050586604,0.056474449,-0.04978548,0.063224505,0.403805122,0.420038521,0.588937312,0.559925348,0.148146391,-1.522693694,2.045526028,-7.031250477,-48.93750381,24.95625114,207.0198387,,,,88.5313747,24.3732946,,,1.771885149,9.798010349,2.264806598,-17.47500038,-64.40625,9.65625,,,,,,,20.11879639408648,32,83,18,21
0.12,1.136663914,-1.433727741,1.214030147,-0.298783928,9.799344063,0.232308164,0.020066908,0.090102557,0.141537367,0.423864931,0.423363119,0.579652846,0.552362919,-2.480715513,-1.532194972,2.517487764,-3.318750143,-48.75000381,24.88125038,207.0390656,,,,88.5313747,24.3732946,,,0.128255284,10.22692394,0.480478805,-13.76250076,-64.23750305,9.581250191,-0.004886917,0.117133323,0.145843966,,,,20.11329770563201,32,83,18,21
0.13,-0.675889581,0.825846195,-0.678663,-0.315013841,9.799176693,0.201689899,0.03451386,0.020922118,-0.027488915,0.427461445,0.429655805,0.575708717,0.548781246,-2.559201002,-1.53182888,2.421423078,-4.556250095,-48.16875076,23.26875114,205.7836718,,,,88.5313747,24.3732946,,,-2.002792549,9.764630699,-1.849173307,-15.00000095,-63.65625381,7.968750477,0.027030766,0.023060146,-0.026572619,-1.825125456,10.20060301,-1.826920062,20.08849356442713,32,83,18,21
0.14,-1.245515287,0.053160191,-1.684066296,-0.471731082,9.795155048,0.012720833,0.154579331,0.047219848,-0.07751874,0.407653973,0.426997557,0.584566742,0.556545585,0.032814622,-1.522502661,1.911378026,-5.887500286,-48.88125229,25.81875038,207.8427144,,,,88.5313747,24.3732946,,,-0.472582463,11.37727344,-0.069990098,-16.33125114,-64.3500061,10.51875019,0.14709624,0.049357874,-0.076602445,-0.472582463,11.37727344,-0.069990098,20.08727299868828,32,83,18,21
0.15,-0.531472117,0.783793688,0.440538593,-0.503406242,9.793601036,0.025736324,0.106931882,0.061636256,-0.09523382,0.405473188,0.425297946,0.587176651,0.55670169,-3.091422439,-1.519369841,1.935475051,-4.106250286,-48.43125153,27.63750076,209.7114266,,,,88.5313747,24.3732946,,,-1.020299584,10.25850935,0.938465047,-14.55000019,-63.91875076,12.33750057,0.099448788,0.063774282,-0.094317521,-1.020299584,10.25850935,0.938465047,20.087336180394136,32,83,18,21
0.16,-0.246616989,-0.472352266,0.936926678,-0.519457161,9.792062283,0.123997867,0.187688197,0.158366694,-0.260381108,0.411097318,0.426074877,0.587315828,0.551826447,-2.908095956,-1.516302347,2.10753715,-3.787500143,-47.51250076,27.48750114,210.0507543,,,,88.5313747,24.3732946,,,-0.03876375,8.797930455,1.221775252,-14.23125076,-62.98125076,12.18750095,0.180205103,0.160504717,-0.259464811,-0.03876375,8.797930455,1.221775252,20.09216968971838,32,83,18,21
0.17,0.712371409,1.291127205,1.668966949,-0.451303914,9.793137074,0.244861662,0.019700389,0.10561852,-0.140193466,0.423524737,0.429067925,0.582159072,0.545541167,-2.646786809,-1.518349051,2.341680527,-5.0625,-48.71250153,25.14375114,207.3012578,,,,88.5313747,24.3732946,,,-0.133998033,8.105686724,1.313061409,-15.50625038,-64.18125153,9.84375,0.012217297,0.107756547,-0.139277168,-0.133998033,8.105686724,1.313061409,20.100990257265288,32,83,18,21
0.18,1.876618505,1.088476658,1.048841953,-0.337740675,9.795250416,0.329343095,-0.060475613,0.156992249,0.047342019,0.434803009,0.430939883,0.575769275,0.541962534,-2.368913651,-1.522574127,2.596209049,-6.750000477,-51.39375305,24.71250153,205.6804073,,,,88.5313747,24.3732946,,,0.976750214,10.94237814,1.289731434,-17.19375038,-66.86250305,9.412500381,-0.067958708,0.159130275,0.048258319,0.976750214,10.94237814,1.289731434,20.097277800745683,32,83,18,21
