seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,gravity_z,gravity_y,gravity_x,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,magnetometer_z,magnetometer_y,magnetometer_x,compass_magneticBearing,barometer_relativeAltitude,barometer_pressure,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,GIS_Elevation,Temperature (°C),Humidity (%),Cloud Cover (%),Wind Speed (km/h)
0.1,0.120797634,0.499757767,-0.271295309,-1.56815958,9.671170235,0.423940241,-0.02159407,0.019730932,0.01093448,-0.416683197,-0.514689147,0.561292231,0.496408314,-2.877561808,-1.404381394,-1.433616996,2.381250143,-46.81875229,-37.63125229,141.2089138,,,-1.577827263,9.92159977,0.095234342,-8.0625,-62.28750229,-52.93125153,-0.029077163,0.021868959,0.011850776,-1.325623751,10.31067276,0.203389928,19.78082338,32,83,18,21
0.11,-0.013849139,0.181966305,-0.213478088,-1.5722574,9.67177248,0.393922254,0.001496618,0.002015854,0.001649335,-0.419583052,-0.516443819,0.559853673,0.493737727,-2.896104336,-1.404753447,-1.443348944,7.125000477,-46.91250229,-35.49375153,142.8890431,,,-1.665404534,9.953663635,0.185683034,-3.318750143,-62.40000153,-50.79375076,-0.005986475,0.004153881,0.002565632,-1.665404534,9.953663635,0.185683034,19.81879639,32,83,18,21
0.12,-0.098851502,0.126986027,-0.25456436,-1.580689549,9.671566486,0.364092827,-0.007788526,0.023365578,0.016340633,-0.420868188,-0.516616106,0.560085863,0.492214724,-2.915210724,-1.404625535,-1.45969224,1.443750024,-49.70625305,-38.28750229,142.3938254,,,-1.795813411,9.978070498,0.007776668,-9,-65.17500305,-53.58750153,-0.01527162,0.025503605,0.01725693,-1.795813411,9.978070498,0.007776668,19.81329771,32,83,18,21
0.13,-0.181333482,-0.152542114,-0.589791372,-1.598202944,9.670652866,0.307243451,0.0011301,0.057482376,-0.045265079,-0.420348078,-0.513633788,0.56361866,0.491753176,-2.951686263,-1.404063702,-1.50277859,3.656250238,-46.06875229,-37.25625229,141.0371918,,,-1.856830359,9.797651672,-0.263210493,-6.787500381,-61.55625153,-52.55625153,-0.006352994,0.059620403,-0.044348783,-1.856830359,9.797651672,-0.263210493,19.78849356,32,83,18,21
0.14,0.305649042,0.019079208,-0.351247758,-1.588069916,9.673634052,0.261864886,-0.010109812,0.003481929,-0.051251555,-0.425540909,-0.516423047,0.560601801,0.487794295,-2.978179216,-1.405925274,-1.514229298,7.912500381,-47.13750076,-35.10000229,143.3275206,,,-0.918843877,9.854600906,0.057427745,-2.53125,-62.62500381,-50.40000153,-0.017592906,0.005619956,-0.050335259,-0.918843877,9.854600906,0.057427745,19.787273,32,83,18,21
0.15,0.467782736,-0.02653265,0.397092596,-1.533376217,9.682053566,0.276886016,0.008246674,-0.004581486,0.01847866,-0.428154528,-0.517405629,0.557199031,0.488367826,-2.962905765,-1.411221266,-1.492477655,3.487500191,-46.35000229,-37.06875229,141.3486721,,,-1.176670551,10.05284595,0.924227774,-6.956250191,-61.83750153,-52.36875153,7.64E-04,-0.002443459,0.019394957,-1.176670551,10.05284595,0.924227774,19.78733618,32,83,18,21
0.16,0.14020294,0.17470932,0.79424271,-1.520738959,9.682023048,0.340504721,-0.024281875,-0.018875721,0.078618297,-0.427504137,-0.519655555,0.554521292,0.489595577,-2.921331286,-1.411200345,-1.447839737,4.481250286,-45.95625305,-35.36250305,142.4223708,0,996.6245117,-1.476371574,10.08096161,1.120798111,-5.962500095,-61.42500305,-50.66250229,-0.031764968,-0.016737695,0.079534595,-1.476371574,10.08096161,1.120798111,19.79216969,32,83,18,21
0.17,-0.897479653,-0.196516037,0.178309917,-1.556942463,9.675520897,0.361403048,-0.02367101,0.042088583,0.028038693,-0.424974173,-0.519885421,0.555968642,0.489913225,-2.913508177,-1.407080889,-1.444117069,4.481250286,-45.95625305,-35.36250305,142.4223708,,,-2.547398996,9.753623772,0.198125719,-5.962500095,-61.42500305,-50.66250229,-0.031154103,0.044226611,0.028954989,-2.547398996,9.753623772,0.198125719,19.80099026,32,83,18,21
0.18,-1.095411718,-0.24661684,-0.482394591,-1.608428895,9.667902946,0.33820942,0.011300999,0.031154104,-0.114231713,-0.422503486,-0.518432975,0.559671223,0.489369839,-2.934232235,-1.402393043,-1.471978426,5.100000381,-48.76875305,-35.8125,143.7089372,,,-2.605185598,8.955138922,-0.495314281,-5.34375,-64.2562561,-51.11250305,0.003817904,0.033292131,-0.113315414,-2.605185598,8.955138922,-0.495314281,19.7972778,32,83,18,21
0.19,-0.090919971,-0.381439209,-0.587423593,-1.631566942,9.665479183,0.294682845,0.002229656,0.043065967,-0.12211187,-0.42231743,-0.51691252,0.562128246,0.488324583,-2.962916374,-1.400914013,-1.503803134,4.6875,-46.85625076,-36.50625229,142.0774272,,,-1.393579924,9.145368195,-0.136390888,-5.756250381,-62.32500076,-51.80625153,-0.005253437,0.045203994,-0.121195573,-1.393579924,9.145368195,-0.136390888,19.79164917,32,83,18,21
